X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209
0,-12,-17,-22,-19,-16,-16,-16,-17,-16,-19,-17,-12,-17,-14,-17,-14,-16,-16,-14,-16,-17,-17,-14,-19,-17,-17,-17,-20,-22,-20,-19,-19,-17,-19,-14,-16,-14,-17,-14,-14,-11,-8,-1,-1,-4,-3,1,4,19,35,41,44,46,49,51,60,75,89,110,121,132,166,161,160,180,200,245,275,297,329,377,438,498,550,574,616,691,767,821,882,948,1007,1063,1101,1135,1167,1199,1234,1269,1290,1301,1317,1324,1325,1316,1295,1276,1255,1234,1209,1177,1137,1082,1028,967,903,807,712,666,622,578,515,432,349,305,270,229,174,110,57,24,-3,-19,-11,-8,-24,-30,-46,-40,-8,-19,-6,0,-14,-25,-8,-22,-72,-57,-57,-40,-9,-3,-19,-35,-35,-14,-17,-33,-38,-57,-68,-57,-24,-6,-30,-46,-52,-48,-49,-44,-46,-48,-46,-46,-51,-51,-54,-40,-35,-28,-35,-30,-19,-22,-27,-19,-20,-17,-20,-22,-24,-24,-19,-11,-11,-20,-24,-19,-12,-9,-9,-14,-19,-25,-27,-25,-28,-22,-22,-17,-25,-32,-28,-30,-30,-25,-19
0,-9,-14,-12,-17,-20,-17,-22,-17,-16,-17,-14,-16,-19,-16,-17,-19,-16,-17,-20,-17,-19,-16,-16,-14,-12,-16,-19,-17,-19,-19,-17,-17,-14,-16,-14,-17,-16,-14,-12,-11,-8,-6,-6,-4,-1,4,6,11,24,35,41,41,51,57,57,67,80,89,105,123,139,173,166,157,179,201,249,278,302,339,386,440,496,551,584,640,714,769,826,894,974,1039,1086,1121,1155,1185,1221,1254,1280,1289,1304,1315,1323,1329,1326,1305,1285,1265,1245,1216,1185,1150,1096,1043,988,919,820,729,676,631,583,507,419,362,317,275,230,169,97,56,24,-9,-14,-3,-22,-30,-30,-44,-32,1,-8,-6,-1,-20,-24,-9,-38,-72,-60,-59,-38,-1,1,-24,-41,-25,-11,-30,-32,-40,-51,-60,-30,-11,-19,-40,-52,-56,-56,-41,-33,-38,-43,-46,-60,-59,-52,-49,-33,-40,-38,-36,-33,-16,-25,-35,-25,-16,-6,-9,-27,-27,-19,-16,-12,-16,-22,-22,-17,-19,-16,-11,-11,-17,-17,-20,-25,-33,-30,-22,-25,-25,-27,-32,-33,-28,-22,-16
1,-9,-12,-17,-16,-16,-14,-16,-16,-17,-17,-14,-12,-16,-12,-11,-17,-16,-19,-19,-19,-17,-14,-17,-19,-17,-20,-14,-19,-20,-19,-17,-16,-16,-16,-12,-12,-14,-17,-11,-9,-8,-6,-6,-6,-6,-3,0,6,17,33,40,43,48,49,52,60,76,88,113,123,134,168,171,161,181,198,238,280,299,334,386,443,501,552,584,623,690,770,826,879,938,996,1071,1116,1154,1190,1220,1254,1281,1299,1316,1331,1334,1335,1332,1315,1295,1276,1251,1220,1191,1153,1100,1039,978,906,821,749,695,643,583,506,430,374,325,278,229,173,113,67,32,-4,-17,-8,-11,-27,-28,-44,-44,-3,-1,-8,-3,-6,-22,-11,-19,-68,-67,-56,-41,-16,1,-20,-43,-27,-6,-17,-20,-27,-51,-52,-67,-16,-8,-25,-49,-54,-48,-48,-43,-36,-33,-36,-28,-43,-52,-54,-40,-36,-38,-38,-33,-28,-19,-27,-28,-24,-12,-12,-8,-12,-19,-19,-12,-9,-8,-16,-25,-24,-16,-12,-11,-14,-14,-17,-17,-20,-25,-30,-28,-24,-17,-22,-30,-32,-33,-28
-1,-12,-17,-16,-14,-17,-16,-17,-19,-16,-17,-14,-14,-16,-17,-17,-14,-16,-14,-14,-16,-17,-16,-16,-16,-17,-16,-19,-24,-17,-16,-19,-16,-14,-11,-12,-14,-14,-11,-8,-9,-9,-6,-4,-6,-1,1,4,8,19,33,44,46,51,52,54,65,78,92,112,126,145,168,164,163,179,208,256,283,305,341,392,450,503,555,583,637,714,773,831,893,964,1025,1074,1111,1148,1183,1219,1252,1271,1284,1300,1321,1326,1328,1315,1297,1284,1262,1238,1214,1185,1145,1094,1038,972,901,800,733,688,642,594,519,422,366,315,275,227,160,102,56,22,-14,-19,0,-20,-33,-38,-54,-35,-1,-11,-17,-4,-16,-22,-8,-25,-80,-64,-51,-41,-3,6,-22,-35,-28,-8,-28,-41,-46,-60,-60,-36,-20,-22,-38,-56,-57,-49,-43,-32,-30,-43,-48,-52,-59,-54,-49,-40,-35,-35,-36,-28,-16,-28,-30,-27,-11,-9,-16,-20,-24,-16,-9,-12,-16,-17,-20,-16,-11,-8,-8,-16,-19,-22,-24,-27,-30,-20,-24,-20,-20,-24,-28,-30,-32,-33,-25
0,-8,-11,-11,-12,-16,-17,-17,-12,-12,-12,-17,-17,-16,-17,-14,-14,-17,-17,-17,-19,-17,-19,-19,-16,-16,-17,-20,-17,-16,-17,-14,-17,-14,-14,-12,-12,-9,-11,-11,-12,-11,-11,-9,-9,-1,1,9,11,20,33,48,51,48,60,59,68,80,92,105,125,150,169,166,158,173,208,258,293,312,346,397,458,516,572,599,653,735,804,860,921,985,1044,1107,1155,1192,1225,1262,1304,1328,1344,1354,1362,1373,1375,1363,1349,1328,1307,1285,1250,1217,1182,1139,1094,1035,958,850,788,748,697,642,549,466,408,366,328,270,201,139,97,68,28,6,-11,-14,-28,-36,-30,-38,-16,-3,-16,-24,-9,-4,-11,-19,-75,-67,-35,-32,-12,-4,-22,-44,-49,-38,-30,-27,-33,-43,-56,-25,-4,-9,-32,-64,-64,-43,-33,-24,-32,-56,-52,-41,-43,-49,-46,-46,-43,-30,-41,-27,-24,-28,-27,-24,-17,-16,-22,-24,-17,-11,-11,-14,-22,-22,-19,-17,-17,-14,-8,-12,-19,-25,-28,-30,-25,-20,-24,-25,-22,-27,-27,-25,-22,-20,-14
1,-6,-8,-11,-11,-14,-16,-16,-14,-11,-11,-11,-12,-14,-16,-16,-16,-12,-16,-16,-19,-20,-17,-19,-17,-14,-16,-14,-16,-16,-16,-17,-12,-14,-14,-22,-16,-14,-12,-9,-8,-4,-4,-4,-3,0,1,3,9,16,32,44,51,48,52,52,62,72,86,104,121,137,168,161,152,171,201,240,274,288,318,368,429,488,530,557,599,673,737,794,852,918,977,1028,1067,1091,1121,1157,1197,1224,1237,1249,1261,1272,1273,1265,1253,1235,1213,1190,1158,1126,1089,1044,987,919,834,745,692,650,605,551,471,389,334,293,248,192,126,88,48,16,-9,-17,-9,-25,-36,-36,-38,-14,-9,-17,-6,-6,-22,-12,-1,-49,-76,-52,-52,-22,8,-8,-32,-46,-25,-22,-33,-32,-38,-54,-48,-24,-3,-19,-57,-65,-56,-46,-35,-28,-44,-57,-56,-48,-44,-40,-40,-35,-36,-33,-35,-22,-14,-25,-32,-22,-11,-16,-27,-20,-16,-11,-12,-14,-17,-17,-19,-19,-19,-19,-9,-6,-14,-16,-19,-19,-22,-22,-22,-24,-24,-28,-28,-32,-27,-24,-24
0,-11,-14,-17,-14,-16,-17,-20,-17,-16,-14,-17,-17,-17,-14,-19,-17,-17,-17,-16,-17,-20,-17,-17,-16,-16,-20,-25,-22,-20,-19,-19,-17,-16,-17,-17,-19,-19,-16,-14,-11,-9,-9,-8,-6,-6,-3,3,12,19,32,40,38,46,49,49,59,73,89,105,118,129,163,169,160,177,200,243,283,307,344,382,434,494,552,587,631,704,764,816,877,935,996,1066,1105,1132,1175,1201,1236,1263,1279,1294,1308,1319,1319,1315,1295,1278,1257,1235,1206,1175,1140,1084,1030,969,911,818,711,664,616,579,515,429,346,304,264,227,173,100,56,28,-6,-16,-14,-19,-25,-25,-44,-35,-3,-11,-12,3,-8,-22,-8,-9,-65,-59,-64,-60,-30,-3,-14,-27,-33,-25,-16,-35,-38,-44,-51,-62,-33,-4,-24,-35,-44,-57,-56,-43,-43,-40,-44,-49,-56,-54,-51,-43,-38,-35,-33,-36,-22,-28,-27,-25,-20,-17,-17,-25,-27,-22,-19,-17,-14,-17,-24,-24,-17,-12,-8,-4,-12,-19,-27,-32,-32,-27,-19,-19,-25,-28,-27,-32,-27,-22,-19
0,-6,-9,-14,-14,-17,-14,-16,-12,-16,-12,-14,-16,-19,-14,-14,-14,-16,-17,-17,-27,-17,-19,-17,-16,-16,-20,-22,-19,-20,-17,-17,-17,-17,-17,-16,-14,-12,-12,-12,-12,-11,-9,-8,-3,-4,-4,0,4,17,32,44,48,48,51,52,60,75,86,112,126,142,165,163,158,177,205,243,277,299,326,376,435,498,549,578,623,692,762,822,878,947,1011,1064,1104,1140,1177,1206,1243,1265,1281,1296,1310,1320,1322,1313,1294,1275,1257,1238,1211,1179,1136,1080,1020,958,887,793,714,668,623,578,515,439,357,309,269,216,168,102,52,19,-9,-17,-4,-9,-24,-28,-52,-36,0,-11,-11,3,-6,-27,-9,-32,-70,-59,-59,-49,-19,3,-14,-36,-28,-4,-14,-30,-32,-48,-46,-57,-19,-24,-35,-40,-44,-51,-49,-44,-41,-40,-38,-35,-51,-51,-56,-44,-36,-38,-36,-28,-27,-27,-24,-28,-25,-19,-11,-8,-12,-25,-22,-20,-12,-12,-14,-16,-16,-17,-24,-24,-16,-16,-4,-4,-16,-22,-27,-27,-24,-20,-25,-27,-35,-36,-36
-6,-6,-17,-11,-16,-16,-16,-14,-14,-16,-16,-16,-14,-12,-14,-14,-16,-17,-19,-17,-17,-19,-20,-16,-16,-17,-17,-20,-20,-17,-19,-14,-11,-17,-17,-17,-17,-17,-16,-17,-11,-8,-8,-6,-4,-4,-3,0,6,19,32,44,44,51,56,51,62,76,92,112,126,137,166,168,161,184,206,253,286,301,333,377,438,506,557,581,626,703,779,839,888,954,1010,1082,1117,1154,1186,1220,1255,1282,1306,1317,1333,1342,1342,1337,1314,1293,1276,1255,1228,1193,1151,1101,1044,980,917,824,725,674,627,586,518,437,353,305,270,229,177,118,68,30,9,-11,-12,-6,-17,-25,-44,-40,-4,-14,-9,4,-11,-17,-11,-4,-57,-59,-64,-54,-22,-1,-14,-20,-35,-17,-17,-32,-25,-51,-56,-70,-32,-9,-14,-38,-46,-49,-51,-44,-43,-46,-43,-46,-51,-52,-52,-40,-35,-35,-33,-32,-25,-20,-20,-28,-24,-16,-12,-16,-17,-24,-24,-17,-14,-12,-14,-19,-24,-22,-14,-11,-9,-12,-11,-19,-27,-25,-28,-25,-24,-24,-27,-30,-32,-35,-27
0,-17,-20,-20,-20,-17,-16,-17,-19,-16,-16,-16,-14,-14,-14,-12,-14,-19,-17,-17,-17,-16,-16,-16,-17,-17,-19,-20,-20,-19,-20,-19,-16,-14,-12,-14,-11,-11,-9,-11,-12,-6,-8,-6,-3,-3,-4,1,11,19,32,40,43,48,49,51,60,75,88,107,120,134,169,163,160,182,206,249,273,297,336,386,445,501,541,570,616,703,762,821,885,961,1020,1063,1097,1130,1169,1202,1239,1262,1271,1289,1305,1318,1323,1318,1300,1278,1257,1230,1201,1170,1140,1087,1021,951,872,788,725,675,627,571,501,426,366,317,269,221,161,99,56,12,-12,-14,1,-16,-25,-27,-43,-40,-3,-6,-6,-3,-14,-20,-12,-19,-72,-60,-60,-48,-9,6,-24,-40,-20,-8,-27,-30,-43,-59,-57,-38,-12,-12,-41,-56,-51,-52,-46,-35,-40,-36,-36,-52,-57,-51,-40,-36,-38,-40,-36,-33,-28,-19,-28,-32,-19,-11,-11,-11,-19,-20,-19,-14,-12,-14,-20,-22,-24,-24,-17,-16,-9,-8,-12,-19,-27,-32,-28,-27,-24,-28,-30,-30,-28,-25,-20
1,-11,-12,-16,-19,-16,-16,-16,-17,-16,-16,-17,-20,-17,-17,-17,-17,-20,-22,-19,-20,-20,-17,-19,-20,-22,-22,-19,-22,-22,-24,-20,-20,-17,-20,-20,-19,-20,-17,-16,-14,-16,-11,-9,-8,-11,-6,-3,1,14,30,41,44,44,49,49,57,73,89,107,120,134,168,163,157,182,198,241,277,290,323,373,429,491,544,572,607,669,735,806,873,934,993,1047,1084,1123,1156,1185,1221,1253,1270,1291,1301,1305,1314,1309,1293,1275,1259,1233,1200,1168,1128,1078,1023,969,886,781,711,666,624,572,498,413,354,312,277,219,157,102,57,25,-8,-19,-6,-12,-28,-32,-49,-44,0,-9,-14,0,-4,-20,-8,-30,-76,-59,-62,-49,-4,-4,-25,-40,-30,-12,-22,-30,-30,-48,-46,-52,-19,-14,-30,-40,-43,-57,-57,-43,-38,-40,-33,-35,-54,-56,-51,-49,-43,-35,-36,-35,-25,-24,-35,-32,-22,-17,-8,-12,-22,-32,-28,-16,-9,-17,-20,-25,-20,-19,-14,-16,-14,-14,-16,-20,-27,-30,-28,-25,-17,-20,-27,-33,-38,-36,-32
1,-14,-16,-17,-16,-17,-16,-14,-14,-16,-14,-14,-14,-16,-17,-17,-16,-16,-16,-17,-17,-17,-20,-17,-16,-19,-22,-22,-24,-19,-22,-22,-19,-20,-17,-17,-20,-17,-19,-16,-14,-9,-11,-11,-11,-9,-8,-1,4,12,30,36,40,43,46,46,54,72,86,107,120,131,164,163,156,172,196,235,275,299,333,382,435,490,546,579,622,695,760,819,879,941,997,1064,1113,1149,1178,1204,1237,1271,1290,1303,1316,1325,1324,1325,1306,1289,1269,1249,1220,1180,1145,1098,1042,984,922,829,741,690,638,600,530,443,368,317,278,229,174,113,72,38,8,-3,-9,-16,-27,-32,-38,-30,0,-11,-14,-1,-11,-16,-9,-12,-80,-59,-51,-51,-12,8,-14,-36,-36,-16,-28,-30,-27,-40,-49,-48,-19,-3,-32,-57,-62,-46,-38,-27,-33,-60,-64,-56,-48,-49,-44,-38,-35,-33,-35,-27,-22,-32,-27,-27,-19,-20,-30,-32,-27,-12,-11,-19,-24,-19,-19,-22,-19,-22,-22,-22,-17,-19,-20,-14,-11,-12,-24,-33,-35,-35,-28,-30,-32,-32,-30
-1,-11,-14,-17,-17,-17,-17,-16,-17,-14,-16,-16,-17,-19,-17,-19,-20,-20,-20,-19,-17,-16,-19,-19,-19,-17,-19,-19,-20,-20,-20,-24,-24,-19,-17,-19,-17,-17,-19,-14,-12,-11,-9,-6,-9,-11,-9,-6,6,19,30,41,41,43,49,51,59,72,83,100,115,132,160,164,152,173,200,246,281,299,336,384,437,499,552,579,619,693,768,831,887,956,1015,1079,1121,1158,1193,1222,1257,1279,1292,1305,1318,1328,1326,1321,1302,1279,1263,1239,1217,1187,1150,1094,1034,980,924,841,732,679,626,583,530,451,365,312,269,232,182,126,65,25,0,-14,-6,-9,-22,-28,-48,-30,0,-8,-4,3,-9,-20,-4,-3,-65,-54,-65,-54,-33,-1,-11,-24,-28,-17,-9,-30,-33,-41,-49,-60,-38,-4,-12,-28,-38,-57,-62,-44,-25,-32,-36,-43,-51,-57,-52,-49,-43,-30,-32,-32,-25,-22,-24,-35,-25,-20,-6,-12,-22,-27,-20,-19,-16,-12,-19,-20,-14,-16,-24,-19,-14,-8,-11,-19,-22,-24,-30,-30,-27,-22,-32,-30,-35,-38,-33
